date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2012-11-01,Sep 2012-Nov 2012,Total,London,Level,20100,number of people,6603466,386873,3930327,1379311
2012-11-01,Sep 2012-Nov 2012,Total,London,Change on quarter,20100,number of people,18748,-18361,12512,19703
2012-11-01,Sep 2012-Nov 2012,Total,London,Change on year,20100,number of people,69037,-61181,144621,-39128
2012-11-01,Sep 2012-Nov 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.7,69.1,24.3
2012-11-01,Sep 2012-Nov 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.1,0.3
2012-11-01,Sep 2012-Nov 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.6,2,-0.9
2012-12-01,Oct 2012-Dec 2012,Total,London,Level,20100,number of people,6609804,391461,3965583,1336334
2012-12-01,Oct 2012-Dec 2012,Total,London,Change on quarter,20100,number of people,19019,-9431,51962,-37022
2012-12-01,Oct 2012-Dec 2012,Total,London,Change on year,20100,number of people,70146,-55872,197810,-98883
2012-12-01,Oct 2012-Dec 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.8,69.7,23.5
2012-12-01,Oct 2012-Dec 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.8,-0.7
2012-12-01,Oct 2012-Dec 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.6,2.9,-1.9
2013-01-01,Nov 2012-Jan 2013,Total,London,Level,20100,number of people,6615945,387404,3962976,1345519
2013-01-01,Nov 2012-Jan 2013,Total,London,Change on quarter,20100,number of people,18879,-21266,67624,-46378
2013-01-01,Nov 2012-Jan 2013,Total,London,Change on year,20100,number of people,70669,-56956,191487,-89893
2013-01-01,Nov 2012-Jan 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.7,69.6,23.6
2013-01-01,Nov 2012-Jan 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,1,-0.9
2013-01-01,Nov 2012-Jan 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.7,2.8,-1.8
2013-02-01,Dec 2012-Feb 2013,Total,London,Level,20100,number of people,6622190,409578,3944049,1345768
2013-02-01,Dec 2012-Feb 2013,Total,London,Change on quarter,20100,number of people,18724,22705,13722,-33543
2013-02-01,Dec 2012-Feb 2013,Total,London,Change on year,20100,number of people,71456,-30137,166498,-88723
2013-02-01,Dec 2012-Feb 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,69.2,23.6
2013-02-01,Dec 2012-Feb 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0.1,-0.6
2013-02-01,Dec 2012-Feb 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,2.4,-1.8
2013-03-01,Jan 2013-Mar 2013,Total,London,Level,20100,number of people,6628451,391218,3976175,1338089
2013-03-01,Jan 2013-Mar 2013,Total,London,Change on quarter,20100,number of people,18647,-243,10592,1755
2013-03-01,Jan 2013-Mar 2013,Total,London,Change on year,20100,number of people,72197,-38322,198139,-110026
2013-03-01,Jan 2013-Mar 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.7,69.7,23.5
2013-03-01,Jan 2013-Mar 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0,0
2013-03-01,Jan 2013-Mar 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.3,2.9,-2.1
2013-04-01,Feb 2013-Apr 2013,Total,London,Level,20100,number of people,6634921,388571,3965159,1354000
2013-04-01,Feb 2013-Apr 2013,Total,London,Change on quarter,20100,number of people,18976,1167,2183,8481
2013-04-01,Feb 2013-Apr 2013,Total,London,Change on year,20100,number of people,72957,-31752,163939,-81091
2013-04-01,Feb 2013-Apr 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.7,69.4,23.7
2013-04-01,Feb 2013-Apr 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.1,0.1
2013-04-01,Feb 2013-Apr 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,2.3,-1.6
2013-05-01,Mar 2013-May 2013,Total,London,Level,20100,number of people,6640904,383970,3955680,1370285
2013-05-01,Mar 2013-May 2013,Total,London,Change on quarter,20100,number of people,18714,-25608,11631,24517
2013-05-01,Mar 2013-May 2013,Total,London,Change on year,20100,number of people,73454,-3937,128112,-71857
2013-05-01,Mar 2013-May 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.6,69.2,24
2013-05-01,Mar 2013-May 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0,0.4
2013-05-01,Mar 2013-May 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1.6,-1.5
2013-06-01,Apr 2013-Jun 2013,Total,London,Level,20100,number of people,6647368,390262,3961348,1364091
2013-06-01,Apr 2013-Jun 2013,Total,London,Change on quarter,20100,number of people,18917,-956,-14827,26002
2013-06-01,Apr 2013-Jun 2013,Total,London,Change on year,20100,number of people,74431,4709,92990,-46196
2013-06-01,Apr 2013-Jun 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.8,69.3,23.9
2013-06-01,Apr 2013-Jun 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.4,0.4
2013-06-01,Apr 2013-Jun 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,1,-1
2013-07-01,May 2013-Jul 2013,Total,London,Level,20100,number of people,6653714,376491,3999155,1348721
2013-07-01,May 2013-Jul 2013,Total,London,Change on quarter,20100,number of people,18793,-12080,33996,-5279
2013-07-01,May 2013-Jul 2013,Total,London,Change on year,20100,number of people,75161,-21505,110739,-37320
2013-07-01,May 2013-Jul 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.4,69.9,23.6
2013-07-01,May 2013-Jul 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.4,-0.1
2013-07-01,May 2013-Jul 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,1.3,-0.9
2013-08-01,Jun 2013-Aug 2013,Total,London,Level,20100,number of people,6660925,394049,4013895,1328153
2013-08-01,Jun 2013-Aug 2013,Total,London,Change on quarter,20100,number of people,20021,10079,58215,-42132
2013-08-01,Jun 2013-Aug 2013,Total,London,Change on year,20100,number of people,76207,-11185,96080,-31455
2013-08-01,Jun 2013-Aug 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.8,70.1,23.2
2013-08-01,Jun 2013-Aug 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.8,-0.8
2013-08-01,Jun 2013-Aug 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1,-0.8
2013-09-01,Jul 2013-Sep 2013,Total,London,Level,20100,number of people,6668178,405729,4003605,1331250
2013-09-01,Jul 2013-Sep 2013,Total,London,Change on quarter,20100,number of people,20810,15467,42257,-32841
2013-09-01,Jul 2013-Sep 2013,Total,London,Change on year,20100,number of people,77393,4837,89984,-42106
2013-09-01,Jul 2013-Sep 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9,69.8,23.2
2013-09-01,Jul 2013-Sep 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.6,-0.6
2013-09-01,Jul 2013-Sep 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.9,-1
2013-10-01,Aug 2013-Oct 2013,Total,London,Level,20100,number of people,6675756,398978,4037400,1316184
2013-10-01,Aug 2013-Oct 2013,Total,London,Change on quarter,20100,number of people,22042,22487,38245,-32537
2013-10-01,Aug 2013-Oct 2013,Total,London,Change on year,20100,number of people,78690,-9692,142048,-75713
2013-10-01,Aug 2013-Oct 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.8,70.3,22.9
2013-10-01,Aug 2013-Oct 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0.5,-0.6
2013-10-01,Aug 2013-Oct 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,1.8,-1.6
2013-11-01,Sep 2013-Nov 2013,Total,London,Level,20100,number of people,6682816,381918,4065086,1305584
2013-11-01,Sep 2013-Nov 2013,Total,London,Change on quarter,20100,number of people,21891,-12131,51191,-22569
2013-11-01,Sep 2013-Nov 2013,Total,London,Change on year,20100,number of people,79350,-4955,134759,-73727
2013-11-01,Sep 2013-Nov 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.4,70.8,22.7
2013-11-01,Sep 2013-Nov 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.7,-0.5
2013-11-01,Sep 2013-Nov 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1.7,-1.5
2013-12-01,Oct 2013-Dec 2013,Total,London,Level,20100,number of people,6690387,374374,4067842,1311364
2013-12-01,Oct 2013-Dec 2013,Total,London,Change on quarter,20100,number of people,22209,-31355,64237,-19886
2013-12-01,Oct 2013-Dec 2013,Total,London,Change on year,20100,number of people,80583,-17087,102259,-24970
2013-12-01,Oct 2013-Dec 2013,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.2,70.7,22.8
2013-12-01,Oct 2013-Dec 2013,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.9,-0.4
2013-12-01,Oct 2013-Dec 2013,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,1.1,-0.7
2014-01-01,Nov 2013-Jan 2014,Total,London,Level,20100,number of people,6697861,378675,4077323,1302676
2014-01-01,Nov 2013-Jan 2014,Total,London,Change on quarter,20100,number of people,22105,-20303,39923,-13508
2014-01-01,Nov 2013-Jan 2014,Total,London,Change on year,20100,number of people,81916,-8729,114347,-42843
2014-01-01,Nov 2013-Jan 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.3,70.8,22.6
2014-01-01,Nov 2013-Jan 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.5,-0.3
2014-01-01,Nov 2013-Jan 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1.3,-1
2014-02-01,Dec 2013-Feb 2014,Total,London,Level,20100,number of people,6705233,363341,4090509,1312762
2014-02-01,Dec 2013-Feb 2014,Total,London,Change on quarter,20100,number of people,22417,-18577,25423,7178
2014-02-01,Dec 2013-Feb 2014,Total,London,Change on year,20100,number of people,83043,-46237,146460,-33006
2014-02-01,Dec 2013-Feb 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8,71,22.8
2014-02-01,Dec 2013-Feb 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.2,0.1
2014-02-01,Dec 2013-Feb 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,1.8,-0.8
2014-03-01,Jan 2014-Mar 2014,Total,London,Level,20100,number of people,6712705,354958,4108653,1309595
2014-03-01,Jan 2014-Mar 2014,Total,London,Change on quarter,20100,number of people,22318,-19416,40811,-1769
2014-03-01,Jan 2014-Mar 2014,Total,London,Change on year,20100,number of people,84254,-36260,132478,-28494
2014-03-01,Jan 2014-Mar 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.8,71.2,22.7
2014-03-01,Jan 2014-Mar 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.5,-0.1
2014-03-01,Jan 2014-Mar 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,1.5,-0.7
2014-04-01,Feb 2014-Apr 2014,Total,London,Level,20100,number of people,6720149,346051,4139021,1291002
2014-04-01,Feb 2014-Apr 2014,Total,London,Change on quarter,20100,number of people,22288,-32624,61698,-11674
2014-04-01,Feb 2014-Apr 2014,Total,London,Change on year,20100,number of people,85228,-42520,173862,-62998
2014-04-01,Feb 2014-Apr 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.5,71.7,22.4
2014-04-01,Feb 2014-Apr 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.9,-0.3
2014-04-01,Feb 2014-Apr 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,2.3,-1.4
2014-05-01,Mar 2014-May 2014,Total,London,Level,20100,number of people,6727431,333191,4151313,1294198
2014-05-01,Mar 2014-May 2014,Total,London,Change on quarter,20100,number of people,22198,-30150,60804,-18564
2014-05-01,Mar 2014-May 2014,Total,London,Change on year,20100,number of people,86527,-50779,195633,-76087
2014-05-01,Mar 2014-May 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.2,71.8,22.4
2014-05-01,Mar 2014-May 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.8,-0.4
2014-05-01,Mar 2014-May 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.4,2.6,-1.6
2014-06-01,Apr 2014-Jun 2014,Total,London,Level,20100,number of people,6734888,322984,4163220,1298960
2014-06-01,Apr 2014-Jun 2014,Total,London,Change on quarter,20100,number of people,22183,-31974,54567,-10635
2014-06-01,Apr 2014-Jun 2014,Total,London,Change on year,20100,number of people,87520,-67278,201872,-65131
2014-06-01,Apr 2014-Jun 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7,72,22.5
2014-06-01,Apr 2014-Jun 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.7,-0.2
2014-06-01,Apr 2014-Jun 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,2.7,-1.4
2014-07-01,May 2014-Jul 2014,Total,London,Level,20100,number of people,6742130,309081,4171857,1312732
2014-07-01,May 2014-Jul 2014,Total,London,Change on quarter,20100,number of people,21981,-36970,32836,21730
2014-07-01,May 2014-Jul 2014,Total,London,Change on year,20100,number of people,88416,-67410,172702,-35989
2014-07-01,May 2014-Jul 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.7,72.1,22.7
2014-07-01,May 2014-Jul 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.4,0.3
2014-07-01,May 2014-Jul 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.7,2.2,-0.9
2014-08-01,Jun 2014-Aug 2014,Total,London,Level,20100,number of people,6750254,298600,4191907,1314507
2014-08-01,Jun 2014-Aug 2014,Total,London,Change on quarter,20100,number of people,22823,-34591,40594,20309
2014-08-01,Jun 2014-Aug 2014,Total,London,Change on year,20100,number of people,89329,-95449,178012,-13646
2014-08-01,Jun 2014-Aug 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,72.3,22.7
2014-08-01,Jun 2014-Aug 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.5,0.3
2014-08-01,Jun 2014-Aug 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.3,2.3,-0.5
2014-09-01,Jul 2014-Sep 2014,Total,London,Level,20100,number of people,6758268,290322,4198609,1322130
2014-09-01,Jul 2014-Sep 2014,Total,London,Change on quarter,20100,number of people,23380,-32662,35389,23170
2014-09-01,Jul 2014-Sep 2014,Total,London,Change on year,20100,number of people,90090,-115407,195004,-9120
2014-09-01,Jul 2014-Sep 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.3,72.4,22.8
2014-09-01,Jul 2014-Sep 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.4,0.3
2014-09-01,Jul 2014-Sep 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.7,2.5,-0.4
2014-10-01,Aug 2014-Oct 2014,Total,London,Level,20100,number of people,6766031,301319,4176811,1344162
2014-10-01,Aug 2014-Oct 2014,Total,London,Change on quarter,20100,number of people,23901,-7762,4954,31430
2014-10-01,Aug 2014-Oct 2014,Total,London,Change on year,20100,number of people,90275,-97659,139411,27978
2014-10-01,Aug 2014-Oct 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.6,71.9,23.1
2014-10-01,Aug 2014-Oct 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.2,0.5
2014-10-01,Aug 2014-Oct 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.3,1.6,0.2
2014-11-01,Sep 2014-Nov 2014,Total,London,Level,20100,number of people,6774139,303182,4165161,1356517
2014-11-01,Sep 2014-Nov 2014,Total,London,Change on quarter,20100,number of people,23885,4582,-26746,42010
2014-11-01,Sep 2014-Nov 2014,Total,London,Change on year,20100,number of people,91323,-78736,100075,50933
2014-11-01,Sep 2014-Nov 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.6,71.6,23.3
2014-11-01,Sep 2014-Nov 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.7,0.6
2014-11-01,Sep 2014-Nov 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,0.9,0.6
2014-12-01,Oct 2014-Dec 2014,Total,London,Level,20100,number of people,6782008,301070,4184305,1340492
2014-12-01,Oct 2014-Dec 2014,Total,London,Change on quarter,20100,number of people,23740,10748,-14304,18362
2014-12-01,Oct 2014-Dec 2014,Total,London,Change on year,20100,number of people,91621,-73304,116463,29128
2014-12-01,Oct 2014-Dec 2014,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,71.9,23
2014-12-01,Oct 2014-Dec 2014,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.5,0.2
2014-12-01,Oct 2014-Dec 2014,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.7,1.1,0.2
2015-01-01,Nov 2014-Jan 2015,Total,London,Level,20100,number of people,6789972,284674,4218392,1326782
2015-01-01,Nov 2014-Jan 2015,Total,London,Change on quarter,20100,number of people,23941,-16645,41581,-17380
2015-01-01,Nov 2014-Jan 2015,Total,London,Change on year,20100,number of people,92111,-94001,141069,24106
2015-01-01,Nov 2014-Jan 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.1,72.4,22.8
2015-01-01,Nov 2014-Jan 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.5,-0.4
2015-01-01,Nov 2014-Jan 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.2,1.5,0.1
2015-02-01,Dec 2014-Feb 2015,Total,London,Level,20100,number of people,6797721,287620,4216704,1333186
2015-02-01,Dec 2014-Feb 2015,Total,London,Change on quarter,20100,number of people,23582,-15562,51543,-23331
2015-02-01,Dec 2014-Feb 2015,Total,London,Change on year,20100,number of people,92488,-75721,126195,20424
2015-02-01,Dec 2014-Feb 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.2,72.3,22.8
2015-02-01,Dec 2014-Feb 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.6,-0.5
2015-02-01,Dec 2014-Feb 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,1.3,0.1
2015-03-01,Jan 2015-Mar 2015,Total,London,Level,20100,number of people,6805742,284666,4215822,1343767
2015-03-01,Jan 2015-Mar 2015,Total,London,Change on quarter,20100,number of people,23734,-16404,31517,3275
2015-03-01,Jan 2015-Mar 2015,Total,London,Change on year,20100,number of people,93037,-70292,107169,34172
2015-03-01,Jan 2015-Mar 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.1,72.2,23
2015-03-01,Jan 2015-Mar 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.3,0
2015-03-01,Jan 2015-Mar 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.6,0.9,0.3
2015-04-01,Feb 2015-Apr 2015,Total,London,Level,20100,number of people,6813877,285190,4211969,1351387
2015-04-01,Feb 2015-Apr 2015,Total,London,Change on quarter,20100,number of people,23905,516,-6423,24605
2015-04-01,Feb 2015-Apr 2015,Total,London,Change on year,20100,number of people,93728,-60861,72948,60385
2015-04-01,Feb 2015-Apr 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.2,72,23.1
2015-04-01,Feb 2015-Apr 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.4,0.3
2015-04-01,Feb 2015-Apr 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.3,0.3,0.7
2015-05-01,Mar 2015-May 2015,Total,London,Level,20100,number of people,6821726,303122,4203336,1344929
2015-05-01,Mar 2015-May 2015,Total,London,Change on quarter,20100,number of people,24005,15502,-13368,11743
2015-05-01,Mar 2015-May 2015,Total,London,Change on year,20100,number of people,94295,-30069,52023,50731
2015-05-01,Mar 2015-May 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.6,71.8,23
2015-05-01,Mar 2015-May 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.5,0.1
2015-05-01,Mar 2015-May 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0,0.6
2015-06-01,Apr 2015-Jun 2015,Total,London,Level,20100,number of people,6829643,300475,4226271,1333909
2015-06-01,Apr 2015-Jun 2015,Total,London,Change on quarter,20100,number of people,23901,15809,10449,-9858
2015-06-01,Apr 2015-Jun 2015,Total,London,Change on year,20100,number of people,94755,-22509,63051,34949
2015-06-01,Apr 2015-Jun 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,72.1,22.8
2015-06-01,Apr 2015-Jun 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,-0.1,-0.2
2015-06-01,Apr 2015-Jun 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.1,0.3
2015-07-01,May 2015-Jul 2015,Total,London,Level,20100,number of people,6837743,293235,4239452,1337960
2015-07-01,May 2015-Jul 2015,Total,London,Change on quarter,20100,number of people,23866,8045,27483,-13427
2015-07-01,May 2015-Jul 2015,Total,London,Change on year,20100,number of people,95613,-15846,67595,25228
2015-07-01,May 2015-Jul 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.3,72.3,22.8
2015-07-01,May 2015-Jul 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.2,-0.3
2015-07-01,May 2015-Jul 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.2,0.1
2015-08-01,Jun 2015-Aug 2015,Total,London,Level,20100,number of people,6843556,273689,4266486,1341089
2015-08-01,Jun 2015-Aug 2015,Total,London,Change on quarter,20100,number of people,21830,-29433,63150,-3840
2015-08-01,Jun 2015-Aug 2015,Total,London,Change on year,20100,number of people,93302,-24911,74579,26582
2015-08-01,Jun 2015-Aug 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.9,72.7,22.8
2015-08-01,Jun 2015-Aug 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.9,-0.1
2015-08-01,Jun 2015-Aug 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,0.3,0.2
2015-09-01,Jul 2015-Sep 2015,Total,London,Level,20100,number of people,6849610,301783,4253307,1327307
